id,job title,job industry,skills,education,experience
21614256,BILINGUAL DOMESTIC VIOLENCE ADVOCATE,ADVOCATE,"Word programs (including Excel and Access), EPIC and other electronic medical records, Efforts to Outcome (ETO), SAS, R, trauma, crisis intervention, risk assessment, safety planning, supportive counseling, bilingual Spanish","Boston University, Master of Public Health, Epidemiology, Maternal and Child Health, Boston University, Master of Social Work, Clinical Social Work, Occidental College, Bachelor of Arts, Psychology","Intern, Corps Member, City Year, Research Assistant"
97405769,CUSTOMER SERVICE ADVOCATE,ADVOCATE,"Superb sales professional, Store planning and design, Strong communication skills, Detail-oriented, Personnel training and development, Time management, Proficient in MS Office","William Penn Vo-tech, General-Business, High School Diploma, Morgan State University, Communications","Sales Manager, Sales Manager, Data Entry operator, Loan Servicing Representative"
95970987,CLINICAL SERVICE ADVOCATE,ADVOCATE,"Domestic Violence, Sexual Abuse, Rape, Prostitution, Mental Health, Substance Abuse, Depression, Anxiety, Bipolar, Schizophrenia, Homelessness, Community Resources, Medication Dispensing, Autism, Runaway Teenagers, ADHD, ADD, Family Intervention, Psychology, Human Behavior and Personality Disorder, Office Administration, Legal Documentation, Online Banking, Fundraising, Crisis Intervention, Bilingual (English/Spanish), Advocacy, Counseling","Boricua College, Human Services Psychology and Sociology, Bachelor of Science, City College Columbia University, Clinical Counseling and Psychology Human Personalities and Behaviors, Master of Science","Women's Empowerment Counselor/Advocate, Office Manager, Bilingual Clinical Services Coordinator"
17021141,PH INPATIENT FINANCIAL ADVOCATE SUPERVISOR,ADVOCATE,"Accounting, Cashiering, Coaching, Computer training, Customer service, Front-office, General office, Hiring, HR, Insurance, Inventory, Team building, Leadership, Marketing, Mentor, Access, Excel, PowerPoint, Word, Microsoft Word, Presentations, Processes, Project leadership, Repairs, Selling, Scheduling, Strategy","University of Phoenix - Master of Business Administration in Business, University of Phoenix - Bachelor of Science in Human Service Management, University of Phoenix - Associate of Arts in Health Administration","PH Patient Service Representative Supervisor, RMC Supervisor, RMC ER Supervisor, Registrar III, Registrar, Repair Technician, Service Department Manager"
15337481,CUSTOMER SERVICE ADVOCATE,ADVOCATE,"Microsoft Suite Proficiency, RightFax Ventura, Lotus Notes, 10 Key (By Sight), Data Entry, Dispatch, Collections, Customer Service, Sales, Cash Handling","El Centro Community College, Health Administration, Associate of Science","Collection Specialist II, Teller/Sales Associate, Collections Specialist, Dispatcher, Customer Service/Sales Associate, Inside Sale Representative"
75950464,SERVICE ADVOCATE RECRUITER,ADVOCATE,"Excellent classroom management, Teaching, tutoring and counseling, Experience working special needs students, Effectively work with parents, Proofreading/editing, Motivating students, Interactive teaching/learning, Innovative lesson planning, Positive atmosphere promotion, Behavioral/cognitive skills development, HTML, APA formatting, Copyediting, Fact checking, WordPress, Microsoft Excel proficiency, Strong communication skills, Microsoft Word expertise, Extremely organized, Self motivated, Team player, Multitasking, Independent worker, Quick learner","Sul Ross State University, Psychology, Bachelor of Arts","Teacher Assistant, Waitress, Childcare Worker, Writing tutor/editor"
19518606,MERCHANT SERVICES ADVOCATE,ADVOCATE,"Client relations specialist, Team management, Focused on customer satisfaction, Training and development, Deadline-oriented, Customer Relationship Management software (CRM), High customer service standards, Employee relations specialist, Call center management experience, Strong problem solving ability, Customer service management expertise, Operations Management, Team Leadership, Customer Experience, Training","Pima Community College, Systems Administration/Networks, Certificate","Mobile Sales Consultant (Seasonal), Operations Supervisor/T-Mobile Gen Care, Operations Team Lead/AT&T Consumer Mobility, Assistant Supervisor"
15727656,TRANSITIONAL HOUSING ADVOCATE,ADVOCATE,"Peer counseling, customer service, database, documentation, Internet Applications, Excel, e-mail, office, Outlook, Power Point, Publisher, Microsoft Word, Personnel, policies, presentations, safety, transportation","Associate of Science : Truckee Community College - Psychology, Associate of Arts : Southwester Polytechnic Institute - General Studies","Mental Health Support Specialist, Administrative Assistant, Community Liaison, Elders Support Coordinator, Technician III"
31242382,CONSUMER SERVICES ADVOCATE CAREER OVERVIEW DEDICATED,ADVOCATE,"Cash handling, Shipping and receiving, Careful and active listener, Multi-tasking, Professional and friendly, Strong organizational skills, Conflict resolution, Active listening, Energetic work attitude, Telephone inquiries, Customer service, Adaptive team player, Visual merchandising, Fashion knowledge, Opening/closing procedures, Telecommunication skills, Invoice processing","Southern University, Computer Science, Associate of Science, Alabama State University, Dance, High School Diploma, Alabama School of Fine Arts, Dance, High School Diploma","Account Manager, Customer Service Representative, Shipping and Receiving, Hostess and Server, Seaman Recruit"
29173771,CENTER DIRECTOR HEAD START FAMILY ADVOCATE,ADVOCATE,"Directors Credential, Relationship building, Parental training, Effective communication, Family advocacy, Family services, Leadership, Planning and Coordination, Good listening skills, Community Resources","CDA: Child Development, High School Diploma","Head Start Family Advocate, Assistant Teacher"
