antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ExitRates_Bin_Low', 'Weekend_Label_Weekday', 'Revenue_Label_Revenue_Yes'})","frozenset({'BounceRates_Bin_Low', 'PageValues_Bin_High'})",0.08635804997951659,0.12101597705858255,0.05456780008193363,0.6318785578747629,5.221447392594096,1.0,0.04411709628678853,2.3877555674748816,0.884900504486192,0.3571045576407506,0.5811966628319799,0.5413962863849102
"frozenset({'ExitRates_Bin_Low', 'Revenue_Label_Revenue_Yes'})","frozenset({'BounceRates_Bin_Low', 'PageValues_Bin_High'})",0.11823023351085621,0.12101597705858255,0.07382220401474805,0.6243936243936243,5.159596605094235,1.0,0.05951445678856742,2.3401733304510426,0.9142821961020824,0.4462605250123824,0.572681225365789,0.6172069679178683
"frozenset({'BounceRates_Bin_Low', 'PageValues_Bin_High'})","frozenset({'ExitRates_Bin_Low', 'Revenue_Label_Revenue_Yes'})",0.12101597705858255,0.11823023351085621,0.07382220401474805,0.6100203114421123,5.159596605094235,1.0,0.05951445678856742,2.261065876917474,0.9171798093261196,0.4462605250123824,0.5577307100121707,0.6172069679178683
"frozenset({'ProductRelated_Bin_High', 'Revenue_Label_Revenue_Yes'})","frozenset({'ProductRelated_Duration_Bin_Long', 'PageValues_Bin_High'})",0.07628021302744777,0.13707496927488735,0.05120852109791069,0.6713211600429646,4.897474452076738,1.0,0.04075241324089143,2.625435305898954,0.8615308852226363,0.3158160687215765,0.6191107822184184,0.5224507772719306
"frozenset({'ProductRelated_Duration_Bin_Long', 'Revenue_Label_Revenue_Yes'})","frozenset({'ProductRelated_Bin_High', 'PageValues_Bin_High'})",0.07857435477263416,0.13437115936091765,0.05120852109791069,0.6517205422314911,4.850151962155701,1.0,0.04065039395107579,2.4854432879427546,0.8615137826782857,0.31661600810536983,0.5976572851808187,0.5164090516035504
"frozenset({'Revenue_Label_Revenue_Yes', 'Weekend_Label_Weekday', 'BounceRates_Bin_Low'})","frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",0.07136419500204834,0.16558787382220402,0.05456780008193363,0.764638346727899,4.617719456612571,1.0,0.04275075476451129,3.5452339604920016,0.8436492341997901,0.2991913746630728,0.7179311686777304,0.5470890892471756
"frozenset({'Revenue_Label_Revenue_Yes', 'BounceRates_Bin_Low'})","frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",0.09733715690290864,0.16558787382220402,0.07382220401474805,0.7584175084175084,4.580151256920183,1.0,0.05770435115929714,3.4539428776976364,0.8659563259968426,0.3903812824956672,0.7104758140451385,0.6021182049757012
"frozenset({'ProductRelated_Duration_Bin_Medium', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.07324866857845146,0.15632937320770177,0.05096272019664072,0.6957494407158836,4.450535599547882,1.0,0.039511801749472726,2.772946839530568,0.8365868128825453,0.2853211009174312,0.6393728196501272,0.510872623921883
"frozenset({'ExitRates_Bin_Low', 'BounceRates_Bin_Low', 'PageValues_Bin_High'})",frozenset({'Revenue_Label_Revenue_Yes'}),0.10856206472757067,0.15632937320770177,0.07382220401474805,0.6799999999999999,4.34979035639413,1.0,0.05685076448175298,2.6364707087259314,0.8638894896193772,0.38636363636363635,0.6207050597261338,0.576111111111111
"frozenset({'ProductRelated_Bin_High', 'Revenue_Label_Revenue_Yes'})","frozenset({'ExitRates_Bin_Low', 'PageValues_Bin_High'})",0.07628021302744777,0.16558787382220402,0.05464973371569029,0.7164339419978518,4.3266087392794566,1.0,0.04201865542577043,2.94256700557397,0.8323650840891422,0.29190371991247266,0.6601606698825394,0.523234289158253
